id,label,group,level
325,DDX20,human protein,3
326,DDX21,human protein,3
327,DDX24,human protein,3
328,DDX39A,human protein,3
329,DDX41,human protein,3
330,DEGS1,human protein,3
331,DERL1,human protein,3
332,DERL3,human protein,3
333,DHCR24,human protein,3
334,DHCR7,human protein,3
335,DHRS7,human protein,3
336,DIMT1,human protein,3
337,DIS3,human protein,3
338,DKC1,human protein,3
339,DLD,human protein,3
340,DLG1,human protein,3
341,DLGAP4,human protein,3
342,DNAJA1,human protein,3
343,DNAJA2,human protein,3
344,DNAJA3,human protein,3
345,DNAJB2,human protein,3
346,DNAJC10,human protein,3
347,DNAJC11,human protein,3
348,DNAJC19,human protein,3
349,DNAJC7,human protein,3
350,DNMT1,human protein,3
351,DOCK4,human protein,3
352,DOCK5,human protein,3
353,DOCK6,human protein,3
354,DOCK7,human protein,3
355,DOLK,human protein,3
356,DPAGT1,human protein,3
357,DPH5,human protein,3
358,DPM1,human protein,3
359,DPY19L1,human protein,3
360,DPY19L2,human protein,3
361,DPY19L3,human protein,3
362,DPY19L4,human protein,3
363,DRAM2,human protein,3
364,DSC3,human protein,3
365,DSP,human protein,3
366,DTNB,human protein,3
367,DTYMK,human protein,3
368,DYNC1LI1,human protein,3
369,DYNC2H1,human protein,3
370,EBNA1BP2,human protein,3
371,EBP,human protein,3
372,ECE1,human protein,3
373,ECI1,human protein,3
374,ECSIT,human protein,3
375,EDC4,human protein,3
376,EDEM3,human protein,3
377,EEA1,human protein,3
378,EEF1A2,human protein,3
379,EFHD2,human protein,3
380,EFNB1,human protein,3
381,EGFL7,human protein,3
382,EI24,human protein,3
383,EIF2A,human protein,3
384,EIF2S3,human protein,3
385,EIF3A,human protein,3
386,EIF3B,human protein,3
387,EIF3E,human protein,3
388,EIF3F,human protein,3
389,EIF4E2,human protein,3
390,EIF4H,human protein,3
391,ELF3,human protein,3
392,ELMO2,human protein,3
393,ELOB,human protein,3
394,ELOC,human protein,3
395,ELOVL5,human protein,3
396,ELOVL6,human protein,3
397,ELOVL7,human protein,3
398,EMC1,human protein,3
399,EMC10,human protein,3
400,EMC2,human protein,3
401,EMC3,human protein,3
402,EMC4,human protein,3
403,EMC8,human protein,3
404,EMD,human protein,3
405,EML4,human protein,3
406,ENDOD1,human protein,3
407,ENO1,human protein,3
408,ENTPD4,human protein,3
409,ENTPD6,human protein,3
410,EPCAM,human protein,3
411,EPHA2,human protein,3
412,EPHB2,human protein,3
413,EPHB3,human protein,3
414,ERBB2,human protein,3
415,ERBB3,human protein,3
416,ERC1,human protein,3
417,ERGIC1,human protein,3
418,ERGIC2,human protein,3
419,ERLEC1,human protein,3
420,ERLIN1,human protein,3
421,ERMP1,human protein,3
422,ERO1B,human protein,3
423,ERP44,human protein,3
424,ETFA,human protein,3
425,EVA1C,human protein,3
426,EXOG,human protein,3
427,EXOSC2,human protein,3
428,EXOSC3,human protein,3
429,EXOSC5,human protein,3
430,EXOSC7,human protein,3
431,EXOSC8,human protein,3
432,EXT1,human protein,3
433,EXTL2,human protein,3
434,EXTL3,human protein,3
435,EZR,human protein,3
436,F2RL1,human protein,3
437,FADS2,human protein,3
438,FADS3,human protein,3
439,FAF2,human protein,3
440,FAM162A,human protein,3
441,FAM20B,human protein,3
442,FAM20C,human protein,3
443,FAM50A,human protein,3
444,FAM57A,human protein,3
445,FAM8A1,human protein,3
446,FAM98A,human protein,3
447,FANCD2,human protein,3
448,FANCG,human protein,3
449,FANCI,human protein,3
450,FAR2,human protein,3
451,FAS,human protein,3
452,FASN,human protein,3
453,FASTKD1,human protein,3
454,FASTKD5,human protein,3
455,FBLN5,human protein,3
456,FBN1,human protein,3
457,FBN2,human protein,3
458,FBW1B,human protein,3
459,FBXL12,human protein,3
460,FBXO46,human protein,3
461,FGA,human protein,3
462,FGB,human protein,3
463,FGFR1,human protein,3
464,FH,human protein,3
465,FITM2,human protein,3
466,FKBP10,human protein,3
467,FKBP15,human protein,3
468,FKBP1A,human protein,3
469,FKBP3,human protein,3
470,FKBP7,human protein,3
471,FKBP8,human protein,3
472,FKRP,human protein,3
473,FLNC,human protein,3
474,FLRT3,human protein,3
475,FMR1,human protein,3
476,FOCAD,human protein,3
477,FOXRED2,human protein,3
478,FPGS,human protein,3
479,FSCN1,human protein,3
480,FURIN,human protein,3
481,FUT8,human protein,3
