to,from
24,1033
4,594
28,1498
29,844
24,262
3,
24,207
3,636
3,548
19,171
3,1437
3,867
24,825
24,474
24,1119
24,963
24,1465
19,1477
24,1011
28,613
24,1263
19,1487
24,1195
19,197
19,533
28,1168
24,535
24,567
24,81
29,462
24,258
27,717
24,1149
28,1229
4,703
24,780
29,1136
27,1411
19,399
24,1132
24,779
24,776
19,1177
24,568
24,587
15,611
19,1441
24,136
28,1177
24,784
27,123
3,1100
24,285
24,372
24,1260
3,161
24,789
24,690
28,843
3,1370
28,1121
3,735
19,246
19,1072
12,740
19,1106
28,780
24,514
20,136
24,1378
24,608
28,1321
24,1287
28,534
24,833
19,43
4,1037
24,143
24,834
24,1290
3,1153
28,360
24,1027
24,682
28,337
3,1155
3,653
24,1225
24,164
24,777
24,601
3,433
24,882
28,363
24,544
3,1384
3,472
27,617
29,1385
3,478
19,727
24,1196
28,729
24,261
24,463
10,1081
3,947
24,879
24,1256
3,1474
28,1452
3,580
19,1182
27,620
24,1247
24,806
29,1300
24,691
24,688
4,778
24,600
28,364
24,206
3,418
28,1369
28,1495
24,1021
4,921
24,80
24,1382
24,1075
19,333
4,194
24,55
3,908
3,1123
27,873
16,409
19,1269
24,1286
29,461
24,632
3,1398
24,1157
27,392
24,633
24,574
24,1141
24,1393
24,435
3,1487
19,205
19,1146
28,222
24,1377
19,204
24,966
3,373
24,1374
28,92
28,612
3,345
28,608
24,1032
28,314
4,588
19,784
3,1191
28,792
4,151
19,1065
24,881
3,873
2,235
28,87
4,702
24,1002
2,1278
3,1409
3,1044
28,164
24,880
3,1472
24,1464
28,563
3,57
3,449
28,1328
3,1036
28,894
19,241
3,50
20,476
3,391
19,133
19,1461
4,652
24,219
28,71
3,1143
4,589
27,1481
3,128
22,1243
24,795
24,609
6,911
24,1267
28,90
3,51
3,954
4,1099
28,86
4,886
24,1469
28,380
24,97
28,678
24,1302
28,1357
28,1001
28,1119
24,1479
28,1258
28,720
24,1067
24,794
3,718
24,684
3,787
28,1339
3,1201
24,61
24,1385
3,876
24,95
3,538
24,1154
24,1375
24,1368
27,1209
19,1460
24,681
3,1074
3,818
3,205
24,152
19,355
28,474
28,628
24,147
28,433
3,549
24,661
3,1106
3,1158
19,675
28,220
28,900
4,469
28,815
28,1259
28,507
28,1178
24,562
24,225
28,
28,121
19,888
28,1172
19,1186
24,1029
28,932
19,403
4,593
24,1108
3,964
28,895
28,155
3,747
28,1326
28,1184
28,1359
24,1449
27,899
28,1171
22,763
28,524
28,464
24,693
2,553
24,1028
3,118
28,
28,1103
3,620
28,1246
28,807
24,998
24,499
24,904
28,148
28,312
24,264
3,481
24,1395
3,817
24,224
2,439
27,817
11,1508
24,734
3,803
28,1397
24,218
24,1198
3,781
3,919
28,1151
28,633
28,806
28,630
3,697
24,367
28,779
28,1353
28,42
28,1118
20,191
28,732
4,1387
24,949
28,923
28,668
3,1192
28,361
28,1228
28,362
3,896
2,136
16,592
28,1376
28,957
28,863
28,532
28,1179
3,944
28,1256
24,469
28,739
28,708
2,1248
3,1224
28,516
28,144
28,666
28,635
19,1156
28,1501
28,1438
24,765
28,160
28,471
28,207
28,1427
3,1325
24,723
28,1514
24,665
28,472
24,756
3,978
24,1026
24,191
24,973
28,521
4,302
28,734
3,332
2,1026
24,1022
19,1429
3,437
24,138
28,251
4,569
24,671
4,94
28,1181
28,1008
28,1405
29,1299
24,571
24,1114
28,1456
28,395
28,689
28,248
2,1410
28,47
3,45
24,730
6,1506
28,1252
24,923
28,1257
28,927
24,793
28,60
28,861
4,443
19,1035
24,680
28,1504
28,221
28,442
4,1238
28,528
19,907
28,330
28,481
19,1025
24,1144
3,301
4,1401
29,1240
28,530
28,1280
24,1219
28,667
3,1170
28,185
19,1336
28,494
28,510
27,1416
24,484
28,1227
24,807
24,946
28,978
27,977
28,1502
28,1154
28,1274
24,1024
27,1284
28,1329
28,537
28,1345
16,1295
28,104
28,687
24,1082
28,421
28,933
28,1484
24,745
28,1102
28,688
28,761
19,118
28,1402
29,887
24,645
28,661
3,624
3,83
28,1451
28,372
28,257
24,788
24,1150
28,911
28,1004
28,641
24,1462
28,860
28,1077
28,145
28,1263
3,722
28,1505
28,776
19,425
3,229
2,192
28,292
28,411
24,1303
24,93
28,193
28,1113
28,67
24,901
28,1167
28,1262
28,1344
28,493
28,893
28,1271
27,621
29,306
27,70
28,492
28,1105
28,490
3,626
28,1255
3,186
28,1195
28,149
24,1025
28,321
28,1323
4,1453
28,1117
28,195
28,451
28,1225
28,1310
24,1210
28,1415
2,1086
28,698
20,1034
24,862
28,1261
24,1217
28,1303
3,496
28,1470
28,1479
3,1013
28,1131
24,775
28,133
28,397
28,1293
28,928
28,310
19,132
28,230
,1500
24,1434
28,1351
28,1066
28,966
24,129
16,560
28,1346
27,441
28,1173
28,91
28,881
28,788
24,1005
19,445
3,75
27,1249
28,634
3,204
28,794
28,484
28,683
4,544
19,371
24,516
3,551
28,1064
28,1460
28,1358
28,315
28,1496
28,1120
3,1356
24,603
28,766
28,1371
22,805
3,505
3,802
3,831
3,877
3,711
24,1003
3,536
24,1502
28,825
28,414
3,1242
3,939
3,796
28,1350
28,1031
28,197
28,725
19,565
19,1200
27,1251
28,1139
28,80
28,916
28,318
28,276
3,1419
28,173
3,1440
3,134
19,272
24,1500
28,46
28,1330
28,1247
28,1386
27,785
28,299
28,654
28,69
4,897
24,1467
24,517
28,95
24,832
28,1335
28,1476
28,1058
28,1021
28,834
3,84
28,1116
28,800
3,122
28,1207
24,1031
3,1367
3,137
28,304
12,1226
28,906
28,1325
28,1239
28,1018
19,500
3,284
28,266
3,1101
3,1183
24,73
28,297
28,1469
19,756
28,1341
24,468
24,1450
19,538
28,1260
24,144
28,465
24,287
28,1336
3,1137
28,415
28,526
27,272
2,828
28,603
28,103
2,716
28,1364
28,408
28,1075
28,663
28,996
3,785
28,1015
28,1337
24,1083
28,56
19,909
24,977
28,597
28,728
24,1159
3,304
28,681
28,311
28,574
3,1277
19,1315
28,1417
28,1245
3,912
3,139
28,1315
28,1279
28,1142
24,828
24,929
6,1307
28,1011
28,561
28,832
28,1193
28,1003
24,307
29,692
3,764
27,352
24,79
24,500
27,847
28,1141
28,
27,797
28,866
28,513
29,1295
24,1211
27,855
19,269
24,824
28,1254
28,93
28,1128
11,892
3,406
24,1373
19,406
28,1035
4,209
3,1180
24,60
4,700
28,1211
28,1349
24,68
24,1371
28,1129
24,888
28,313
28,1311
24,
3,889
28,920
19,69
28,1132
28,1352
28,759
24,1172
24,1034
28,101
28,1115
2,1049
28,1026
28,434
29,267
28,601
28,662
3,107
28,693
3,714
4,883
3,845
27,1078
28,768
28,676
28,1005
24,162
28,531
28,824
28,1016
28,1499
28,1500
28,1152
28,538
28,1307
28,1342
24,257
19,307
28,1320
24,1257
28,426
24,1018
28,1114
28,862
28,219
28,432
24,1216
28,61
28,1217
28,793
28,191
28,1159
24,525
28,1375
28,1374
24,154
24,1073
28,1006
3,1163
24,1262
3,196
4,556
28,1054
28,167
28,1028
28,396
28,1275
28,541
28,1220
19,1356
28,609
3,1043
28,745
28,872
3,554
28,1140
24,222
28,256
28,658
3,1428
28,1372
28,669
19,402
28,287
28,674
28,1373
28,1450
4,648
27,229
27,269
3,762
28,943
24,366
24,489
3,830
20,1083
,525
28,511
2,290
4,572
28,1073
28,
28,88
28,1056
24,1372
28,218
28,1368
24,1430
28,1324
28,1063
24,223
28,1002
28,665
28,300
28,156
28,527
24,199
24,1006
28,1333
28,1377
28,
24,560
28,146
28,335
28,721
3,448
24,1058
19,401
,354
15,1206
10,951
15,354
16,972
,774
10,354
15,774
10,774
,925
21,1205
16,924
10,59
16,1047
17,354
21,339
,59
,215
9,354
12,1483
24,1205
10,979
12,1503
15,475
12,972
12,1047
12,965
11,925
16,1111
11,1294
27,279
21,985
15,59
15,614
9,216
9,774
12,1236
12,942
29,1432
10,992
24,1480
12,1111
12,992
21,870
9,979
16,1297
27,940
11,59
27,1205
27,346
29,1205
29,278
29,940
10,213
27,1480
14,1160
17,774
12,157
12,858
10,898
27,590
4,339
14,942
14,590
16,858
15,215
24,591
29,1480
16,992
15,213
29,385
10,518
24,346
9,898
16,1400
12,1060
15,898
11,452
27,343
3,1205
27,1432
16,1012
14,591
12,168
27,278
15,1296
29,1165
9,518
16,1060
12,651
29,827
21,1362
10,201
10,816
24,614
3,1432
27,280
9,213
13,59
29,113
12,1291
16,1062
27,325
14,992
12,1098
12,1400
16,1291
3,591
12,748
27,1162
4,774
16,816
4,488
29,546
12,329
16,1215
27,982
27,614
16,1230
12,1046
16,1046
11,473
16,329
,1362
29,985
24,1165
,201
12,695
22,591
3,1480
10,952
21,201
3,1206
12,546
9,816
3,278
27,1482
24,992
29,1482
16,1512
26,113
3,827
29,1296
24,1160
10,215
4,487
3,1490
12,1062
29,518
11,215
27,985
3,150
21,213
7,644
14,1060
12,816
24,1162
7,992
29,502
11,111
3,343
9,215
10,1135
7,1480
27,439
,111
29,1161
11,54
22,1062
3,1482
15,342
17,1135
24,1482
24,1354
3,552
26,114
29,280
7,1296
10,85
11,644
27,550
12,871
7,1042
12,1009
21,659
12,109
16,1009
3,985
7,54
27,127
14,1098
15,495
15,1422
24,1053
21,54
12,1234
3,992
11,202
29,325
14,336
7,491
20,1296
3,625
29,614
24,1296
9,1214
27,1160
12,696
11,874
3,940
20,1482
27,827
3,1162
10,495
27,955
27,1165
23,502
7,473
20,827
3,590
3,280
16,1095
29,343
21,1422
29,1162
,660
28,279
11,763
20,1480
12,1095
11,1422
16,822
24,550
24,1422
7,1517
22,816
7,328
12,338
28,1053
7,816
,1214
29,404
7,349
12,336
26,54
10,1214
21,952
16,696
23,615
7,1166
9,342
24,343
26,157
27,1296
23,125
27,953
26,1480
23,1124
28,827
24,127
26,647
26,769
2,77
10,659
16,1061
3,358
11,772
3,279
24,439
27,1014
15,983
29,1212
7,495
15,772
23,277
9,713
3,980
15,214
12,754
21,214
16,750
,772
3,955
10,214
28,1482
15,713
7,713
24,1166
21,983
26,234
26,375
11,214
14,750
3,614
27,502
27,989
20,163
3,1165
12,1420
21,342
27,150
3,325
16,754
23,1096
10,771
12,1092
14,127
12,578
3,1052
27,349
16,1381
12,582
24,495
9,1473
29,981
11,1135
22,763
3,1166
6,386
6,1096
29,989
4,1050
3,77
7,875
12,1407
29,153
15,127
17,772
28,819
14,1096
16,127
16,656
3,344
3,1296
7,203
24,763
28,196
14,577
12,430
28,1205
26,1038
10,1473
14,1095
15,1093
21,407
12,1093
12,760
10,782
26,319
3,981
28,278
2,1162
23,1480
16,1045
,1093
3,342
16,1089
14,1087
3,550
27,404
27,1166
21,1473
28,614
23,1490
23,127
14,125
7,39
10,1093
16,737
12,1090
24,125
28,358
3,502
12,821
15,771
12,1107
8,773
11,288
21,713
20,127
21,127
7,952
29,550
16,760
28,1480
16,968
28,439
3,1053
22,184
3,983
29,984
20,1354
21,1491
9,1388
27,196
15,984
3,125
16,782
2,404
7,184
14,547
27,125
29,342
12,968
24,342
12,547
3,153
23,214
3,260
3,127
2,127
16,327
14,439
28,280
29,1124
3,989
24,153
24,196
28,113
29,127
28,1296
20,125
4,575
16,1485
3,404
23,1053
28,1212
29,1166
7,1491
3,349
26,439
3,277
14,782
23,439
23,213
26,365
,282
28,125
21,125
20,342
29,277
3,982
28,1354
28,1014
26,125
21,203
11,212
20,1166
27,344
27,277
27,1124
3,990
27,984
23,1482
11,875
10,203
15,125
16,125
23,1166
28,277
4,1214
6,387
27,153
21,771
28,127
7,615
8,59
2,1166
3,986
3,984
27,990
21,277
26,127
12,1096
28,342
23,1205
28,1166
23,280
11,203
26,752
29,988
7,214
23,614
27,983
24,277
27,988
9,203
29,196
10,212
12,427
3,196
8,774
11,125
28,1161
21,988
29,983
2,125
23,278
15,277
3,988
7,125
17,771
3,439
,203
12,370
2,955
29,987
29,125
7,342
9,282
12,1087
3,1124
7,74
27,987
7,1389
21,282
15,
15,737
15,482
15,483
15,475
15,234
15,475
15,975
15,969
15,1513
15,1094
15,1363
15,738
15,1133
15,939
15,1221
15,1475
15,1093
15,1088
15,1512
15,1091
15,117
15,1511
15,1455
15,286
15,638
15,640
15,
15,1128
15,1085
15,709
15,1332
15,910
15,116
15,1282
15,757
15,
15,210
15,672
15,1442
15,150
15,198
15,240
15,486
15,643
15,686
15,941
15,1076
15,1110
15,1235
15,1273
15,566
15,1347
15,1080
15,242
15,332
15,
15,
15,
15,1489
15,92
15,351
15,1354
15,1459
15,1159
15,641
15,1110
15,1507
15,539
15,1340
15,382
15,334
15,273
15,1064
15,1127
15,642
15,1000
15,1199
15,710
15,130
15,1190
15,999
15,1343
15,356
15,1391
15,438
15,1406
15,770
15,89
15,1056
15,1408
15,1334
15,240
15,1187
15,1460
15,1188
15,1272
15,1269
15,263
15,902
15,1185
15,903
15,247
15,331
15,1276
15,995
15,198
15,444
15,112
15,1488
15,994
15,1331
15,791
15,726
15,141
15,101
15,436
15,790
15,541
15,420
15,1477
15,1254
15,1063
15,1454
15,1186
15,1296
15,127
,
2,100
2,170
2,169
2,305
2,1492
2,1189
3,931
3,1486
3,126
3,49
3,424
3,1250
3,504
3,135
3,991
3,1056
3,930
3,95
3,912
3,1176
3,454
3,1175
3,1414
3,281
3,1104
3,1057
3,620
3,1164
3,1413
